County,2011_Mortgate_Count,2011_New_House_Price,2011_Second_Hand_Price,2011_Sum_of_Price,2011_Male_Population,2011_Female_Population,2011_Total_Population,2011_Migration_Population,2011_LA_Arrears,2011_Loans Approved,2011_Loans_Paid,2011_1 - 14 years,2011_15 - 19 years,2011_20 - 24 years,2011_25 - 29 years,2011_30 - 34 years,2011_35 - 44 years,2011_45 - 54 years,2011_55 - 64 years,2011_65 - 74 years,2011_75 years and over,2011_employment,2011_Married_First_Marriage,2011_Divorsed,2011_AVG_Interest_Rate,2012_Mortgate_Count,2012_New_House_Price,2012_Second_Hand_Price,2012_Sum_of_Price,2012_AVG_Interest_Rate,2012_LA_Arrears,2012_Loans Approved,2012_Loans_Paid,2013_Mortgate_Count,2013_New_House_Price,2013_Second_Hand_Price,2013_Sum_of_Price,2013_AVG_Interest_Rate,2013_LA_Arrears,2013_Loans Approved,2013_Loans_Paid,2014_Mortgate_Count,2014_New_House_Price,2014_Second_Hand_Price,2014_Sum_of_Price,2014_AVG_Interest_Rate,2014_LA_Arrears,2014_Loans Approved,2014_Loans_Paid,2015_Mortgate_Count,2015_New_House_Price,2015_Second_Hand_Price,2015_Sum_of_Price,2015_AVG_Interest_Rate,2015_LA_Arrears,2015_Loans Approved,2015_Loans_Paid,2016_Countof_mortgages,2016_New_House_Price ,2016_Second_Hand_Price,2016_Sum_of_Price,2016_Male_Population,2016_Female_Population,2016_Total_Population,2016_Migration_Population,2016_LA_Arrears,2016_Loans_Approved,2016_Loans_Paid,2016_1 - 14 years,2016_15 - 19 years,2016_20 - 24 years,2016_25 - 29 years,2016_30 - 34 years,2016_35 - 44 years,2016_45 - 54 years,2016_55 - 64 years,2016_65 - 74 years,2016_75 years and over,2016_employment,2016_Married_First_Marriage,2016_Divorsed,2016_AVG_Interest_Rate,2017_Mortgate_Count,2017_New_House_Price,2017_Second_Hand_Price,2017_Sum_of_Price,2017_AVG_Interest_Rate,2017_LA_Arrears,2017_Loans Approved,2017_Loans_Paid,2011_Forced,2011_Voluntary,2012_Forced,2012_Voluntary,2013_Forced,2013_Voluntary,2014_Forced,2014_Voluntary,2015_Forced,2015_Voluntary,2016_Forced,2017_Voluntary,2017_Forced,2017_Voluntary,2012_Employees,2013_Employees,2014_Employees,2015_Employees,2016_Employees,Average of 2011,Average of 2016,2011_Same_Sex_Civil Partners,2016_Same_Sex_Civil Partners,2011_Remarried,2016_Remarried,2011_Seperated,2016_Seperated,2011_Single,2016_Single,2011_Widowed,2016_Widowed,2011_AllPrivate,2016_AllPrivate,2011_Permanent_Private,2016_Temporary_Private,2011_African-Both sexes,2011_African-Female,2011_African-Male,2011_All nationalities-Both sexes,2011_All nationalities-Female,2011_All nationalities-Male,2011_American (US)-Both sexes,2011_American (US)-Female,2011_American (US)-Male,2011_Brazilian-Both sexes,2011_Brazilian-Female,2011_Brazilian-Male,2011_French-Both sexes,2011_French-Female,2011_French-Male,2011_German-Both sexes,2011_German-Female,2011_German-Male,2011_Indian-Both sexes,2011_Indian-Female,2011_Indian-Male,2011_Irish-Both sexes,2011_Irish-Female,2011_Irish-Male,2011_Italian-Both sexes,2011_Italian-Female,2011_Italian-Male,2011_Latvian-Both sexes,2011_Latvian-Female,2011_Latvian-Male,2011_Lithuanian-Both sexes,2011_Lithuanian-Female,2011_Lithuanian-Male,"2011_Not stated, including no nationality-Both sexes","2011_Not stated, including no nationality-Female","2011_Not stated, including no nationality-Male",2011_Other American-Both sexes,2011_Other American-Female,2011_Other American-Male,2011_Other Asian-Both sexes,2011_Other Asian-Female,2011_Other Asian-Male,2011_Other EU28-Both sexes,2011_Other EU28-Female,2011_Other EU28-Male,2011_Other European-Both sexes,2011_Other European-Female,2011_Other European-Male,2011_Other nationalities-Both sexes,2011_Other nationalities-Female,2011_Other nationalities-Male,2011_Polish-Both sexes,2011_Polish-Female,2011_Polish-Male,2011_Romanian-Both sexes,2011_Romanian-Female,2011_Romanian-Male,2011_Spanish-Both sexes,2011_Spanish-Female,2011_Spanish-Male,2011_UK-Both sexes,2011_UK-Female,2011_UK-Male,2016_African-Both sexes,2016_African-Female,2016_African-Male,2016_All nationalities-Both sexes,2016_All nationalities-Female,2016_All nationalities-Male,2016_American (US)-Both sexes,2016_American (US)-Female,2016_American (US)-Male,2016_Brazilian-Both sexes,2016_Brazilian-Female,2016_Brazilian-Male,2016_French-Both sexes,2016_French-Female,2016_French-Male,2016_German-Both sexes,2016_German-Female,2016_German-Male,2016_Indian-Both sexes,2016_Indian-Female,2016_Indian-Male,2016_Irish-Both sexes,2016_Irish-Female,2016_Irish-Male,2016_Italian-Both sexes,2016_Italian-Female,2016_Italian-Male,2016_Latvian-Both sexes,2016_Latvian-Female,2016_Latvian-Male,2016_Lithuanian-Both sexes,2016_Lithuanian-Female,2016_Lithuanian-Male,"2016_Not stated, including no nationality-Both sexes","2016_Not stated, including no nationality-Female","2016_Not stated, including no nationality-Male",2016_Other American-Both sexes,2016_Other American-Female,2016_Other American-Male,2016_Other Asian-Both sexes,2016_Other Asian-Female,2016_Other Asian-Male,2016_Other EU28-Both sexes,2016_Other EU28-Female,2016_Other EU28-Male,2016_Other European-Both sexes,2016_Other European-Female,2016_Other European-Male,2016_Other nationalities-Both sexes,2016_Other nationalities-Female,2016_Other nationalities-Male,2016_Polish-Both sexes,2016_Polish-Female,2016_Polish-Male,2016_Romanian-Both sexes,2016_Romanian-Female,2016_Romanian-Male,2016_Spanish-Both sexes,2016_Spanish-Female,2016_Spanish-Male,2016_UK-Both sexes,2016_UK-Female,2016_UK-Male,2011_All persons aged 15 years and over,2016_All persons aged 15 years and over,2011_Employer or own account worker,2016_Employer or own account worker,2011_Employee,2016_Employee,2011_Assisting_relative,2016_Assisting_relative,2011_Unemployed looking for first regular job,2016_Unemployed looking for first regular job,2011_Unemployed having lost or given up previous job,2016_Unemployed having lost or given up previous job,2011_Student,2016_Student,2011_Looking after home/family,2016_Looking after home/family,2011_Retired,2016_Retired,2011_Unable to work due to permanent sickness or disability,2016_Unable to work due to permanent sickness or disability,2011_Other economic status,2016_Other economic status,2011_all_depature_timeAll_Persons,2016_all_depature_timeAll_Persons,2011_all_depature_time_Children at school aged between 5 and 12 years,2016_all_depature_time_Children at school aged between 5 and 12 years,2011_all_depature_time_Students at school or college aged between 13 and 18 years,2016_all_depature_time_Students at school or college aged between 13 and 18 years,2011_all_depature_time_Students at school or college aged 19 years and over,2016_all_depature_time_Students at school or college aged 19 years and over,2011_all_depature_time_Population aged 15 years and over at work,2016_all_depature_time_Population aged 15 years and over at work
Carlow,232,15469246.7,24902719.26,40371965.96,27431,27181,54612,949,2411129,8119755.76,363500,11251,3337,3488,4028,4527,8198,6844,5414,3559,2634,15851,39874,2188,4.5475,266,5231431.93,23625832.83,28857264.76,3.706666667,2868570,8245804,405600,375,8924081.89,33247102.74,42171184.63,3.855,3212134,9494445,877750,436,9748768.86,40107503,49856271.86,4.1425,2094001,9413140,870400,529,14547928.35,52497922.63,67045850.98,3.873333333,1804977,10261550,1408000,533,8922062.15,64735728,73657790.15,28465,28467,56932,-287,1798544,10962749,1575500,11804,3619,3101,3246,4030,8646,7403,6026,4303,3012,18251,40936,2720,3.735,534,8440269.25,70853505.41,79293774.66,4.145,1905790,12304110,1852000,0,0,0,0,1,0,1,0,2,0,0,0,0,0,"9,675","9,737","10,214","10,590","10,990",2.8,2.8,0,58,1300,1476,3030,3170,58316,60752,4516,4752,73623,77146,73444,76936,286,143,143,54325,26989,27336,66,37,29,48,25,23,65,29,36,63,35,28,68,35,33,47596,23764,23832,27,8,19,328,183,145,236,128,108,733,357,376,46,25,21,382,182,200,448,206,242,120,51,69,80,40,40,2275,1026,1249,195,89,106,25,17,8,1238,609,629,184,92,92,56555,28323,28232,59,34,25,51,25,26,62,36,26,54,31,23,26,8,18,49728,25005,24723,51,24,27,480,271,209,239,127,112,898,399,499,39,20,19,342,162,180,467,228,239,70,31,39,103,51,52,2275,1064,1211,277,147,130,39,27,12,1111,541,570,42463,44321,3586,3669,15851,18251,65,53,409,434,5499,4073,4866,5077,4403,4111,5168,6043,2395,2467,221,143,30705,33857,6395,6961,3807,4356,2323,2161,18180,20379
Cavan,302,24673742.72,18352482,43026224.72,37013,36170,73183,5809,1527579,5670806,0,15852,4757,4100,4866,5557,10563,9112,7308,4653,4132,21179,55790,2558,4.5475,331,7776170.72,26864043,34640213.72,3.706666667,1394725,5234368,0,510,8453029.58,33345202.21,41798231.79,3.855,1633702,4930019,71136,832,10428682.31,53144230.88,63572913.19,4.1425,1681576,4548153,0,811,12593088.9,64437253.04,77030341.94,3.873333333,1398632,4481098,414190,772,9019846.88,73901187.28,82921034.16,38330,37846,76176,-38,1298904,4257389,305000,16198,5247,3566,3670,5052,10902,9933,8141,5867,4379,24336,57982,3304,3.735,842,8690584.23,93118619.67,101809203.9,4.145,1122724,4144473,118250,0,0,0,1,0,0,0,1,1,0,0,0,1,0,"12,193","12,084","12,698","13,446","14,312",2.8,2.8,0,78,1608,1960,3138,3516,76838,78930,6434,6582,98443,102184,98198,101950,504,245,259,72759,35956,36803,149,86,63,122,54,68,32,15,17,95,48,47,152,69,83,63367,31322,32045,25,9,16,778,437,341,1323,660,663,983,466,517,34,22,12,377,188,189,363,177,186,207,99,108,105,54,51,1888,865,1023,118,55,63,22,16,6,2115,1069,1046,302,141,161,75395,37444,37951,140,84,56,139,64,75,42,19,23,105,53,52,57,24,33,65655,32612,33043,31,13,18,795,439,356,1432,763,669,938,463,475,25,16,9,455,203,252,506,232,274,131,68,63,146,64,82,2190,1050,1140,226,110,116,46,31,15,2034,995,1039,55951,58554,5983,6062,21179,24336,147,111,559,603,6772,4810,5477,6014,5989,5545,7241,8464,2385,2390,219,219,41796,46077,8832,9658,5791,6277,2126,2111,25047,28031
Clare,506,20369831.32,68685759.79,89055591.11,58298,58898,117196,1237,3984197,11953985,0,24126,7362,6177,6854,8384,17596,15334,12748,8246,6021,35891,89168,4504,4.5475,578,9969977.11,66193265.58,76163242.69,3.706666667,4111462,10660895,0,638,7155753.27,68183260.77,75339014.04,3.855,4034658,9890052,0,1047,13509988.48,110641331,124151319.5,4.1425,3525482,8880528,0,1190,13655480.38,134082929,147738409.4,3.873333333,2966064,8222509,103305,1176,15041780.27,182113353.7,197155133.9,58785,60032,118817,-2313,2554217,7565281,267000,23771,7971,5443,5101,6869,17388,16415,13558,10338,6880,39691,90726,5348,3.735,1293,23237859.65,194519080.1,217756939.8,4.145,1930849,7241419,295880,0,0,1,0,0,0,0,3,1,0,0,1,0,7,"21,404","21,253","22,470","24,104","24,511",2.7,2.7,0,136,3314,3458,5742,6302,121130,120948,10534,10716,158235,160389,157933,160033,931,466,465,115791,58109,57682,434,267,167,232,113,119,191,112,79,434,245,189,181,73,108,102297,51221,51076,49,16,33,332,192,140,340,168,172,1346,645,701,119,75,44,688,365,323,1175,604,571,339,187,152,254,128,126,2660,1325,1335,57,26,31,77,49,28,3655,1832,1823,413,189,224,116909,59008,57901,336,196,140,232,120,112,212,116,96,477,275,202,172,55,117,104212,52561,51651,79,28,51,295,172,123,359,186,173,1583,789,794,125,95,30,602,270,332,1100,592,508,187,105,82,245,123,122,2852,1406,1446,113,65,48,153,101,52,3162,1564,1598,91115,93245,9545,9665,35891,39691,170,155,737,666,9805,6352,10044,10423,8476,7409,12530,14986,3602,3583,315,315,68959,72865,13810,14187,8954,9592,4420,4242,41775,44844
Cork,2269,130779201.7,391481729.9,522260931.6,257470,261562,519032,12633,23267633,105510176.1,865000,100077,31263,31436,37174,42632,77108,65936,52026,34754,26735,169310,382586,19972,4.5475,2760,60413424.37,420495666,480909090.3,3.706666667,26341594,101818735,1388650,3249,62000776.33,505304330.2,567305106.6,3.855,28086902,96332466,1086620,4664,94305131.53,735548506,829853637.5,4.1425,29090244,91276602,610340,5418,161911726.8,956624525.6,1118536252,3.873333333,20647291,84927758,806340,5646,181208828.2,981489730.2,1162698558,268675,274193,542868,2191,17022554,79623938,924995,104950,33446,29328,29557,38232,82713,71039,57021,41967,30624,192123,398510,24082,3.735,5865,216947367.1,1140589506,1357536873,4.145,14753589,73714644,483060,0,7,0,6,0,3,0,2,6,3,0,2,0,0,"109,975","113,962","122,382","126,538","134,323",2.6,2.6,0,648,11690,13676,23790,24086,555182,579304,44844,45430,700319,730895,698977,729551,3330,1636,1694,512799,258346,254453,1193,690,503,417,189,228,1574,744,830,1937,990,947,1312,639,673,449374,227092,222282,789,342,447,1103,622,481,2886,1536,1350,5917,2860,3057,496,283,213,3610,1739,1871,5510,2664,2846,1264,625,639,1070,529,541,15915,7670,8245,490,245,245,743,427,316,13869,6824,7045,2241,1065,1176,535055,269966,265089,1183,662,521,697,383,314,1979,926,1053,2068,1134,934,827,312,515,469755,237468,232287,1453,651,802,1055,601,454,2717,1485,1232,6250,3056,3194,600,362,238,3386,1703,1683,6738,3250,3488,999,495,504,1345,685,660,16276,7963,8313,1123,565,558,1727,1058,669,12636,6142,6494,409529,429337,37382,37640,169310,192123,811,610,3021,2746,37848,24484,47573,52307,40053,35606,52891,62609,19087,19642,1553,1570,309007,339940,55610,61735,36926,39735,22645,24280,193826,214190
Donegal,634,34380898.2,61966146.79,96347044.99,80523,80614,161137,8218,5322167,26839619,155200,33801,10709,8986,9701,11249,22849,19660,16880,11832,9044,42731,121340,5898,4.5475,702,10043277.58,64280217.15,74323494.73,3.706666667,5544487,25418959,674151,763,7825534.24,63012057.61,70837591.85,3.855,6215047,23899558,0,1208,15140207.54,95829246.26,110969453.8,4.1425,6485447,22453274,0,1504,15193264.55,140100495.1,155293759.6,3.873333333,6002293,21134557,0,1458,19290508.47,138612373.6,157902882.1,79022,80170,159192,-6294,5669797,19490475,150000,32370,11028,7375,7455,9213,22327,21073,17562,14076,10136,47753,122544,6724,3.735,1324,21338155.23,137650889,158989044.2,4.145,5044587,17721891,111550,0,0,0,3,0,4,1,1,0,0,0,2,1,1,"21,876","22,725","23,949","25,414","27,363",2.7,2.7,0,118,3304,3732,8026,7958,169310,162964,14396,14344,217103,215781,216443,215193,586,296,290,158792,79344,79448,357,181,176,100,49,51,101,50,51,233,127,106,380,179,201,144620,71908,72712,37,13,24,230,128,102,382,197,185,1295,603,692,68,39,29,548,288,260,493,260,233,108,55,53,162,87,75,2104,1036,1068,159,80,79,37,23,14,6792,3745,3047,295,135,160,156675,78919,77756,295,165,130,79,42,37,96,50,46,208,122,86,331,137,194,143174,71897,71277,51,19,32,191,109,82,345,198,147,2028,974,1054,71,46,25,455,216,239,588,310,278,62,31,31,243,119,124,2003,997,1006,241,122,119,59,39,20,5860,3191,2669,124188,124150,10303,10423,42731,47753,243,177,1380,1167,17489,11662,13137,13329,12930,10644,19065,22365,6653,6121,257,509,86571,91359,19239,19546,12645,13110,5387,5030,49300,53673
Dublin,6934,333210698.6,1975940982,2309151681,619902,653167,1273069,19472,37652506,632441468,2496992,222147,69303,83242,115791,122406,186989,148060,115644,77140,60347,379053,848116,50914,4.5475,8911,219566781.2,2281192645,2500759426,3.706666667,46268023,607501390,2149636,10373,256430510.4,3134791797,3391222307,3.855,55431984,579351305,1141269,14169,499274175.6,4632387612,5131661787,4.1425,56881994,539553107,1910400,15422,744409755.3,4670480663,5414890418,3.873333333,134683742,501109169,4325960,15735,1143040233,5231060459,6374100692,658371,688988,1347359,9938,104844235,444858187,3939000,239643,73412,77488,98899,117167,214778,159689,126745,90962,70336,542145,909824,58740,3.735,17886,1556599527,5959939641,7516539168,4.145,81961382,405688989,3580611,16,2,31,3,20,5,4,8,9,8,8,12,2,5,"550,892","564,617","584,103","614,116","649,680",2.725,2.8,0,4352,27534,33954,66318,63858,1454844,1521214,98412,102776,1704926,1788537,1702979,1786426,19648,9916,9732,1244745,638146,606599,3473,1931,1542,4483,2257,2226,4999,2559,2440,3847,2168,1679,9509,4288,5221,1029739,531098,498641,4754,2154,2600,6375,3650,2725,10553,5560,4993,19668,9434,10234,2753,1543,1210,26478,13281,13197,16176,8000,8176,6675,3494,3181,3454,1577,1877,35878,17738,18140,11579,5671,5908,4152,2491,1661,20552,9336,11216,9711,4608,5103,1318033,674150,643883,4042,2344,1698,8903,4758,4145,6046,2970,3076,3938,2193,1745,6546,2367,4179,1094068,563611,530457,7395,3374,4021,5771,3357,2414,9869,5342,4527,29815,13922,15893,4257,2381,1876,19489,9696,9793,19684,9647,10037,5314,2734,2580,4940,2382,2558,33751,17190,16561,18374,8812,9562,6924,3978,2946,19196,8484,10712,1027817,1087406,66891,71776,472837,542145,1001,855,10678,9493,100771,71103,124927,126817,84803,77286,123178,145668,38647,38265,4084,3998,783047,873452,122490,137167,78467,85266,64290,63911,517800,587108
Galway,948,54916576.15,156777109.3,211693685.4,124758,125895,250653,6699,13618225,50443767,0,47558,14958,15668,18579,20717,36834,30181,24220,15741,12446,81487,180994,8708,4.5475,1171,22260478.22,172077608.3,194338086.5,3.706666667,12301734,46337680,0,1585,21737509.35,226266580.2,248004089.5,3.855,10022729,42768821,0,2425,35022252.45,342447044.8,377469297.3,4.1425,9487980,39519591,0,2828,35217255.35,441810417.3,477027672.7,3.873333333,7911599,36547404,84390,2566,64687321.47,422725979,487413300.5,127663,130395,258058,-3699,6851582,33736099,853.15,49618,15534,14322,13722,17804,39418,32520,26840,19225,14171,91203,188912,10408,3.735,2774,61549357.96,523452852.2,585002210.1,4.145,6048398,31075124,150650,0,1,1,3,0,6,1,0,4,1,2,0,0,0,"46,180","46,860","49,026","50,254","56,488",2.7,2.7,0,376,5052,5836,10590,11082,275508,278524,20454,20978,331904,343420,330795,342237,2081,1054,1027,243633,122251,121382,1151,694,457,998,475,523,596,299,297,754,440,314,649,307,342,211828,106157,105671,313,143,170,757,429,328,1358,725,633,2329,1128,1201,343,191,152,2002,947,1055,2226,1127,1099,637,338,299,577,285,292,7533,3679,3854,481,243,238,387,224,163,6633,3366,3267,988,488,500,250962,126288,124674,877,542,335,1161,588,573,721,368,353,839,488,351,542,222,320,218917,110040,108877,457,207,250,767,450,317,1387,747,640,3486,1677,1809,322,188,134,1731,869,862,2599,1316,1283,428,216,212,653,323,330,7503,3809,3694,853,425,428,662,380,282,6069,2945,3124,198467,204176,18885,18552,81487,91203,392,312,1842,1570,20703,13543,25434,26064,17339,15708,23538,28581,7855,7870,992,773,148703,161247,26784,29174,17164,18569,12768,12103,91987,101401
Kerry,627,30913758.43,87038414.28,117952172.7,72629,72873,145502,1213,3073076,14199916,0,27013,8894,7465,8968,10339,20491,19156,16635,11313,8701,42401,111996,5732,4.5475,760,17024944.27,92870971.35,109895915.6,3.706666667,2585006,13008545,10000,879,15718759.39,99540888.29,115259647.7,3.855,2462116,11779560,29100,1210,16753035.25,136527624.9,153280660.2,4.1425,2691494,11157433,0,1419,29834345.92,166715749.2,196550095.1,3.873333333,2172901,10256249,209500,1477,26313292.21,192824008.1,219137300.3,73055,74652,147707,-948,2083231,9077163,11000,26597,9231,6435,6358,8939,20742,19745,17813,14064,9517,48099,114410,6706,3.735,1635,25303067.88,228639237.9,253942305.7,4.145,1654449,8126993,291000,0,1,0,3,3,11,0,1,0,0,0,2,0,1,"23,543","24,020","24,979","26,932","29,585",2.6,2.6,0,152,3832,4358,6754,7158,148428,147924,14262,14706,194281,196089,193727,195570,608,286,322,141977,70921,71056,481,286,195,32,13,19,195,90,105,573,299,274,153,74,79,124521,62128,62393,71,26,45,222,132,90,896,481,415,1548,780,768,83,54,29,1033,491,542,1438,711,727,414,214,200,221,113,108,4045,1930,2115,186,101,85,73,45,28,5184,2667,2517,415,215,200,143050,72089,70961,401,246,155,23,13,10,194,100,94,511,292,219,120,49,71,125240,62992,62248,99,41,58,230,137,93,891,478,413,2426,1247,1179,83,52,31,733,349,384,1639,826,813,241,127,114,279,137,142,4234,2067,2167,183,92,91,163,109,54,4945,2520,2425,116150,118916,13114,12913,42401,48099,252,210,921,835,12598,7866,11776,11849,11638,9585,17902,21855,5111,5238,437,466,80888,85483,15155,15871,10613,10905,5339,4947,49781,53760
Kildare,1045,84313469.68,166707179.4,251020649.1,104658,105654,210312,8615,17327386,33510348,744850,47269,12775,12151,15617,18465,34956,26053,18893,10233,6168,72730,156786,7354,4.5475,1060,32382052.39,174216573,206598625.4,3.706666667,16257919,31095803,137300,1330,50797287.34,212940909.5,263738196.8,3.855,16927467,29145558,457439,1880,87379013.13,330796032.2,418175045.4,4.1425,15830818,27431943,591924,2296,123458194,447110899.3,570569093.3,3.873333333,13413534,26841280,1398525,2320,150646388,453792047.8,604438435.8,110546,111958,222504,-867,12228871,26800427,2232847,49728,14981,11453,11482,16085,37281,29782,21197,14025,7626,82402,166440,8850,3.735,2844,219770465.7,533652467.7,753422933.4,4.145,11058095,28042217,2421890,20,0,11,0,5,0,4,1,7,0,0,0,0,0,"38,359","39,722","41,338","45,360","46,516",2.9,3,0,298,5008,5998,10460,10764,227902,238758,13114,13900,279285,294519,278508,293702,2140,1126,1014,208783,104854,103929,368,199,169,380,204,176,291,156,135,326,198,128,758,376,382,182248,91713,90535,243,109,134,960,521,439,1560,808,752,1992,953,1039,154,89,65,1909,994,915,1855,862,993,1131,575,556,367,158,209,7192,3338,3854,734,364,370,216,149,67,3959,1962,1997,947,457,490,220693,111032,109661,362,200,162,322,186,136,381,206,175,300,185,115,442,174,268,195192,98468,96724,308,158,150,884,507,377,1696,910,786,2168,1021,1147,153,99,54,1569,811,758,2154,1027,1127,562,271,291,535,241,294,7205,3466,3739,1308,608,700,397,266,131,3808,1771,2037,158744,168944,12664,13364,72730,82402,193,181,1371,1395,17268,10902,18009,20559,15487,14478,14639,18890,5981,6255,402,518,131915,147440,26716,29364,15328,18234,7729,8293,82142,91549
Kilkenny,343,14267802.78,57731813.99,71999616.77,47788,47631,95419,3895,8386390,28864891,1503540,19247,6065,5230,6043,7339,14240,12522,9952,6486,5052,29241,72860,3278,4.5475,463,12182428.96,51113696.58,63296125.54,3.706666667,9147655,28658666,1983057,475,8210091.14,54594934.61,62805025.75,3.855,8049040,29496499,1949423.27,684,12809432.07,82946764.64,95756196.71,4.1425,5660938,29424082,2512572,778,16310731.12,111640642.9,127951374,3.873333333,4571410,32184017,4425927,718,9618152.58,119536780.9,129154933.5,49533,49699,99232,241,3765394,33950073,3464615,20076,6511,4637,4873,6261,15006,13128,11070,8033,5667,33141,75938,4040,3.735,798,10226386.32,133306725.4,143533111.7,4.145,3286753,35501674,3777992,0,2,0,0,1,1,4,0,1,1,0,0,0,0,"14,005","14,231","14,950","15,780","15,927",2.8,2.8,0,124,2146,2590,4568,4888,99918,102522,8068,8362,128021,132391,127704,132019,426,204,222,94897,47297,47600,172,93,79,62,31,31,77,38,39,138,86,52,154,84,70,85630,42768,42862,81,25,56,287,137,150,416,211,205,886,436,450,57,28,29,501,251,250,801,369,432,197,87,110,144,70,74,2177,1020,1157,232,113,119,33,21,12,2426,1225,1201,232,110,122,97916,48947,48969,130,74,56,54,33,21,82,44,38,130,94,36,74,24,50,88725,44415,44310,136,59,77,323,160,163,402,219,183,972,452,520,45,28,17,389,207,182,1051,493,558,106,54,52,156,71,85,2310,1109,1201,377,176,201,100,60,40,2122,1065,1057,74219,77466,7858,8100,29241,33141,174,122,610,578,8382,5466,7703,8164,7238,6524,9716,11819,3126,3276,171,276,55559,60147,10886,11717,7240,7850,3298,3239,34135,37341
