County,2017_values,Predictions
Carlow,1905790.0,1857358.378337482
Cavan,1122724.0,2589067.8412969653
Clare,1930849.0,3329715.1085614767
Cork,14753589.0,14846015.920541348
Donegal,5044587.0,3341526.096533805
Dublin,81961382.0,81066165.40065551
Galway,6048398.0,7264123.095624817
Kerry,1654449.0,4218998.833484001
Kildare,11058095.0,34987864.577923775
Kilkenny,3286753.0,1535832.2299474105
Laois,16052841.0,5665703.128829172
Leitrim,309165.0,1512669.6910083238
Limerick,2493977.0,5641579.736675426
Longford,2883708.0,7372580.455246559
Louth,3345606.0,3935975.039377827
Mayo,6102632.0,2879344.5734683964
Meath,4194719.0,6952611.083034486
Monaghan,1910202.0,-1799364.472200686
Offaly,1163066.0,1882624.4307320379
Roscommon,359107.0,6594802.390292387
Sligo,2760242.0,3280578.229678303
Tipperary,2562784.0,3693932.0104362965
Waterford,16058109.0,5513719.959560549
Westmeath,3094415.0,-440708.08590972796
Wexford,1626196.0,4097124.13171882
Wicklow,4218954.0,4461377.377421433
State,197902338.2,180689942.31239155
